#threads moses joshua_4_memory joshua_4_packed joshua_5_packed joshua_decode moses_decode
1  	3232  5514  6189   4897  4026    1964.2 
2  	2247  4132  2925   2698  2107.8  1031.6 
4  	1838  3217  1622   1518  1236.8  552.4  
8  	1350  2684  1099   1045  762.4   320.4  
16	1206  2871  1172   770   689.4   232.8  
32	1298  3030  1381   492   635.8   168.2  
48	1448  2994  1442   452   634.8   288.8  
